date_time,player,mission,answer,correct,points,score,ai_prediction,dangerous_votes,naive_bayes_probability,logistic_regression_probability,random_forest_probability
2026-09-06 00:22:24,rrr,1,dangerous,True,100,100,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-06 00:22:28,rrr,2,dangerous,True,150,250,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-06 00:22:32,rrr,3,dangerous,True,100,350,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-06 00:22:35,rrr,4,dangerous,True,150,500,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-06 00:22:38,rrr,5,dangerous,True,200,700,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-06 00:22:41,rrr,6,safe,True,100,800,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-06 00:22:44,rrr,7,dangerous,False,0,800,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:22:47,rrr,8,safe,False,0,800,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-06 00:22:50,rrr,9,dangerous,False,0,800,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-06 00:22:52,rrr,10,dangerous,False,0,800,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:26:18,pony,1,dangerous,True,100,100,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-06 00:26:21,pony,2,dangerous,False,0,100,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:26:26,pony,3,safe,True,100,200,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-06 00:26:31,pony,4,safe,True,100,300,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-06 00:26:35,pony,5,dangerous,True,200,500,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-06 00:26:39,pony,6,dangerous,True,150,650,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-06 00:26:42,pony,7,dangerous,True,200,850,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-06 00:26:45,pony,8,dangerous,False,0,850,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:26:49,pony,9,dangerous,True,100,950,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-06 00:26:55,pony,10,dangerous,True,150,1100,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-06 00:53:07,JADE HERRERA,1,dangerous,False,0,0,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:53:13,JADE HERRERA,2,dangerous,True,100,100,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-06 00:53:22,JADE HERRERA,3,dangerous,True,150,250,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-06 00:53:37,JADE HERRERA,4,dangerous,True,200,450,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-06 00:53:40,JADE HERRERA,5,safe,False,0,450,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-06 00:53:43,JADE HERRERA,6,dangerous,False,0,450,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-06 00:53:45,JADE HERRERA,7,dangerous,False,0,450,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-06 00:53:49,JADE HERRERA,8,safe,False,0,450,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-06 00:53:52,JADE HERRERA,9,dangerous,True,200,650,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-06 00:53:58,JADE HERRERA,10,dangerous,False,0,650,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-06 00:54:32,JADE,1,safe,True,100,100,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-06 00:54:35,JADE,2,dangerous,True,100,200,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-06 00:54:39,JADE,3,safe,True,100,300,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-06 00:54:49,JADE,4,dangerous,True,150,450,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-06 00:54:52,JADE,5,safe,False,0,450,safe,1,0.4580530987608448,0.532016264842879,0.35
