date_time,player,mission,answer,correct,points,score,ai_prediction,dangerous_votes,naive_bayes_probability,logistic_regression_probability,random_forest_probability
2026-09-05 22:06:09,f,1,dangerous,True,100,100,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 22:06:12,f,2,dangerous,True,200,300,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 22:06:15,f,3,safe,True,100,400,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 22:06:18,f,4,dangerous,True,150,550,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 22:06:21,f,5,dangerous,False,0,550,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:06:24,f,6,safe,False,0,550,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 22:06:26,f,7,safe,True,100,650,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 22:06:29,f,8,dangerous,False,0,650,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:06:32,f,9,dangerous,True,150,800,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 22:06:36,f,10,dangerous,True,100,900,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 22:10:20,wdqefwr,1,dangerous,False,0,0,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 22:10:23,wdqefwr,2,safe,False,0,0,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 22:10:26,wdqefwr,3,dangerous,False,0,0,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 22:10:28,wdqefwr,4,dangerous,False,0,0,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:10:31,wdqefwr,5,dangerous,False,0,0,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:10:34,wdqefwr,6,dangerous,True,150,150,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 22:10:37,wdqefwr,7,dangerous,True,150,300,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 22:10:39,wdqefwr,8,dangerous,True,200,500,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 22:10:42,wdqefwr,9,dangerous,True,100,600,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 22:10:44,wdqefwr,10,dangerous,True,200,800,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
